n,a,b,orientation,batch,samples,k,sum_q,sum_q2,sum_gate01,sum_gate12,sum_inactive_gate01,sum_inactive_gate12,sum_active_S,sum_active_D,sum_inactive_S,sum_inactive_D,sum_site_S,sum_site_D,sum_J_S_re,sum_J_S_im,sum_J_D_re,sum_J_D_im,sum_q_J_D_re,sum_q_J_D_im,sum_local_S,sum_local_D
65,8,1,first,1,1000,14,-1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,8,1,first,1,1000,15,-1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,8,1,first,1,1000,16,-1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,8,1,first,1,1000,17,-1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,8,1,first,1,1000,18,-1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,8,1,first,1,1000,19,-1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,8,1,first,1,1000,20,-1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,8,1,first,1,1000,21,-1000,1000,1,0,0,1,44,-44,44,44,44,-44,38.6679289940828402367,20.995029585798816568,-38.6679289940828402367,-20.995029585798816568,38.6679289940828402367,20.995029585798816568,0,0
65,8,1,first,1,1000,22,-999,999,5,0,0,5,215,-215,215,215,215,-215,188.945562130177514793,102.589349112426035503,-188.945562130177514793,-102.589349112426035503,188.945562130177514793,102.589349112426035503,0,0
65,8,1,first,1,1000,23,-994,994,5,0,0,5,210,-210,210,210,210,-210,184.551479289940828402,100.203550295857988166,-184.551479289940828402,-100.203550295857988166,184.551479289940828402,100.203550295857988166,0,0
65,8,1,first,1,1000,24,-989,989,7,0,0,7,287,-287,287,287,287,-287,252.220355029585798817,136.94485207100591716,-252.220355029585798817,-136.94485207100591716,252.220355029585798817,136.94485207100591716,0,0
65,8,1,first,1,1000,25,-982,982,6,0,0,6,240,-240,240,240,240,-240,140.610650887573964497,76.3455621301775147929,-140.610650887573964497,-76.3455621301775147929,140.610650887573964497,76.3455621301775147929,0,0
65,8,1,first,1,1000,26,-976,976,14,0,0,14,546,-546,546,546,546,-546,479.833846153846153846,260.529230769230769231,-479.833846153846153846,-260.529230769230769231,479.833846153846153846,260.529230769230769231,195,-195
65,8,1,first,1,1000,27,-962,962,20,0,0,20,760,-760,760,760,760,-760,534.320473372781065089,290.113136094674556213,-534.320473372781065089,-290.113136094674556213,534.320473372781065089,290.113136094674556213,190,-190
65,8,1,first,1,1000,28,-942,942,16,1,1,16,629,-555,629,555,629,-555,487.743195266272189349,264.823668639053254438,-422.710769230769230769,-229.513846153846153846,455.226982248520710059,247.168757396449704142,37,-37
