# schema=matching-one/p537-aggregate-wedge-mc-combined/v1
# L=8
# N=64
# samples=100000000
# shard_index=0
# shard_count=1
# batches=100
# proposal_p=0.59260000000000002
batch	kind	transition	k	count	sum_q0	sum_q1	sum_source16_0	sum_source16_1	signed_count	signed_source_mid16	unsigned_count
1	landing	01	48	0	0	0	0	0	0	0	0
1	landing	12	48	0	0	0	0	0	-4	-120	6
1	global	-	49	955	940	951	17664	9728	0	0	0
1	landing	01	49	0	0	0	0	0	0	0	0
1	landing	12	49	0	0	0	0	0	2	56	4
1	global	-	50	387	383	385	7168	6144	0	0	0
1	landing	01	50	0	0	0	0	0	0	0	0
1	landing	12	50	0	0	0	0	0	0	0	0
1	global	-	51	140	139	140	512	512	0	0	0
1	landing	01	51	0	0	0	0	0	0	0	0
1	landing	12	51	0	0	0	0	0	-1	-32	1
1	global	-	52	41	41	41	256	256	0	0	0
1	landing	01	52	0	0	0	0	0	0	0	0
1	landing	12	52	0	0	0	0	0	0	0	0
1	global	-	53	12	12	12	0	0	0	0	0
1	landing	01	53	0	0	0	0	0	0	0	0
1	landing	12	53	0	0	0	0	0	0	0	0
1	global	-	54	4	4	4	0	0	0	0	0
1	landing	01	54	0	0	0	0	0	0	0	0
1	landing	12	54	0	0	0	0	0	0	0	0
1	global	-	55	1	1	1	0	0	0	0	0
1	landing	01	55	0	0	0	0	0	0	0	0
1	landing	12	55	0	0	0	0	0	0	0	0
1	global	-	56	1	1	1	0	0	0	0	0
1	landing	01	56	0	0	0	0	0	0	0	0
1	landing	12	56	0	0	0	0	0	0	0	0
1	global	-	57	0	0	0	0	0	0	0	0
1	landing	01	57	0	0	0	0	0	0	0	0
1	landing	12	57	0	0	0	0	0	0	0	0
1	global	-	58	0	0	0	0	0	0	0	0
1	landing	01	58	0	0	0	0	0	0	0	0
1	landing	12	58	0	0	0	0	0	0	0	0
1	global	-	59	0	0	0	0	0	0	0	0
1	landing	01	59	0	0	0	0	0	0	0	0
1	landing	12	59	0	0	0	0	0	0	0	0
1	global	-	60	0	0	0	0	0	0	0	0
1	landing	01	60	0	0	0	0	0	0	0	0
1	landing	12	60	0	0	0	0	0	0	0	0
1	global	-	61	0	0	0	0	0	0	0	0
1	landing	01	61	0	0	0	0	0	0	0	0
1	landing	12	61	0	0	0	0	0	0	0	0
1	global	-	62	0	0	0	0	0	0	0	0
1	landing	01	62	0	0	0	0	0	0	0	0
1	landing	12	62	0	0	0	0	0	0	0	0
1	global	-	63	0	0	0	0	0	0	0	0
1	landing	01	63	0	0	0	0	0	0	0	0
1	landing	12	63	0	0	0	0	0	0	0	0
2	global	-	0	0	0	0	0	0	0	0	0
2	landing	01	0	0	0	0	0	0	0	0	0
2	landing	12	0	0	0	0	0	0	0	0	0
2	global	-	1	0	0	0	0	0	0	0	0
2	landing	01	1	0	0	0	0	0	0	0	0
2	landing	12	1	0	0	0	0	0	0	0	0
2	global	-	2	0	0	0	0	0	0	0	0
2	landing	01	2	0	0	0	0	0	0	0	0
2	landing	12	2	0	0	0	0	0	0	0	0
2	global	-	3	0	0	0	0	0	0	0	0
2	landing	01	3	0	0	0	0	0	0	0	0
2	landing	12	3	0	0	0	0	0	0	0	0
2	global	-	4	0	0	0	0	0	0	0	0
2	landing	01	4	0	0	0	0	0	0	0	0
2	landing	12	4	0	0	0	0	0	0	0	0
2	global	-	5	0	0	0	0	0	0	0	0
2	landing	01	5	0	0	0	0	0	0	0	0
2	landing	12	5	0	0	0	0	0	0	0	0
2	global	-	6	0	0	0	0	0	0	0	0
2	landing	01	6	0	0	0	0	0	0	0	0
2	landing	12	6	0	0	0	0	0	0	0	0
2	global	-	7	0	0	0	0	0	0	0	0
